Step,Value
1,5164085.0
2,5164085.0
3,5165487.0
4,200136.03125
5,189224.875
6,214351.78125
7,5275810.5
8,424566.25
9,206729.671875
10,197664.21875
11,5186613.0
12,5186681.0
13,5334400.5
14,5198274.5
15,5314370.5
16,242423.375
17,195139.109375
18,5360461.5
19,5197913.0
20,5242900.0
21,5222792.0
22,5258604.5
23,401162.0625
24,5299351.5
25,5244802.5
26,5190944.0
27,5260312.5
28,201883.890625
29,5330437.5
30,298570.03125
31,5278116.5
32,5155245.0
33,224058.9375
34,5232553.0
35,5245783.0
36,5167904.0
37,217768.0
38,5250222.0
39,236002.8125
40,5234837.0
41,5130395.5
42,5296013.5
43,5223876.0
44,249878.765625
45,5279893.5
46,245015.703125
47,301599.03125
48,5150913.5
49,5212733.5
50,5334055.5
51,5343476.0
52,5293670.0
53,5303636.5
54,5282377.0
55,5251715.0
56,5327739.5
57,255471.96875
58,5237494.5
59,5233634.5
60,5232605.5
61,5197470.5
62,5207114.0
63,5227384.5
64,263440.75
65,5212175.5
66,5390970.0
67,5255048.0
68,316948.125
69,309387.09375
70,5201192.5
71,5418539.5
72,817651.9375
73,5223615.0
74,1455823.0
75,5141415.5
76,5178897.5
77,5253381.0
78,241219.1875
79,244454.28125
80,5228576.5
81,5316541.0
82,5049974.0
83,5224551.0
84,5265164.5
85,5187061.5
86,5196595.5
87,5207759.5
88,5209513.5
89,5348605.5
90,5374178.5
91,5249447.5
92,5135536.0
93,5398636.0
94,237354.8125
95,313971.0
96,5189653.5
97,5371189.5
98,5290323.0
99,5267963.5
100,350114.71875
101,238674.328125
102,5304403.0
103,5253155.5
104,5255651.5
105,228182.25
106,5378671.5
107,264516.125
108,5238018.0
109,246760.34375
110,5310729.0
111,5307535.5
112,5216522.0
113,5250708.0
114,5281713.5
115,5288448.5
116,5292409.5
117,5285268.0
118,5266560.5
119,5223588.0
120,5268406.0
121,213513.859375
122,5302655.5
123,5294001.5
124,5347636.5
125,5136696.0
126,4844542.0
127,5203202.5
128,5265234.0
129,5189806.0
130,5254420.0
131,5382749.0
132,5298428.5
133,5268222.0
134,3798483.0
135,5353334.5
136,177558.34375
137,204215.203125
138,5105381.0
139,1210992.875
140,5360878.0
141,5193908.0
142,5292137.0
143,3008370.5
144,5305236.5
145,225213.765625
146,5338919.5
147,5279737.5
148,5200221.5
149,5395178.5
150,5283096.0
151,5347947.0
152,5284127.0
153,5292559.5
154,5216472.5
155,5188595.0
156,5285776.5
157,5246231.0
158,5314625.5
159,5380807.0
160,5085338.0
161,5288748.0
162,222350.84375
163,157706.09375
164,192135.8125
165,5400245.5
166,1153257.625
167,5144151.5
168,200603.578125
169,5268899.5
170,345565.4375
171,5273816.0
172,5271926.0
173,4032984.25
174,5288908.0
175,216337.28125
176,5239373.0
177,171923.59375
178,181216.078125
179,5226390.5
180,5240625.0
181,5307380.5
182,5266717.5
183,5321828.0
184,5229177.5
185,5132925.5
186,5221923.5
187,5273497.5
188,195550.265625
189,5256921.0
190,206063.15625
191,202663.234375
192,177228.90625
193,5221279.0
194,5298794.5
195,5304857.0
196,1448886.25
197,184255.796875
198,5163738.5
199,5277794.0
200,5209195.5
201,5319947.0
202,5241431.5
203,5150123.5
204,5315210.5
205,187917.828125
206,5344197.0
207,230355.578125
208,177133.796875
209,193090.109375
210,166294.96875
211,258991.953125
212,5161944.0
213,5321097.5
214,5287198.0
215,5217479.0
216,5243977.5
217,5351600.0
218,285854.625
219,5317984.5
220,5124213.0
221,5220624.5
222,313569.625
223,5385929.5
224,5257949.5
225,5227626.5
226,5280709.0
227,5336662.5
228,5261845.0
229,355602.59375
230,234818.171875
231,5314805.0
232,5349663.0
233,5357302.0
234,257349.3125
235,242556.78125
236,5324131.0
237,5183940.5
238,5362178.5
239,574583.625
240,5238756.0
241,993869.8125
242,5338807.5
243,5292965.0
244,5278380.0
245,235537.28125
246,5267400.5
247,430605.78125
248,216988.203125
249,5317289.0
250,5285171.5
251,5237891.0
252,230956.453125
253,5368822.5
254,5239249.0
255,5329374.0
256,5339787.0
257,5422523.5
258,5114005.0
259,5273213.5
260,249182.484375
261,5375685.0
262,266404.09375
263,5354078.5
264,5396506.0
265,5163476.0
266,5298346.5
267,5295685.0
268,5211567.0
269,5227569.0
270,5365606.0
271,5233687.5
272,245792.046875
273,323731.28125
274,5337932.5
275,5177620.0
276,5193103.5
277,5286777.5
278,5225933.5
279,289194.59375
280,5355562.0
281,288848.3125
282,5238576.0
283,5220327.5
284,5316062.0
285,5237843.5
286,5127692.0
287,5326575.0
288,5259853.0
289,5133611.5
290,5131900.0
291,5176792.5
292,5393310.0
293,5282809.0
294,236333.359375
295,5309948.5
296,5378038.5
297,5247341.0
298,5225570.0
299,5198106.0
300,308794.65625
301,235378.84375
302,226094.609375
303,5213246.5
304,5260458.5
305,273527.8125
306,229340.953125
307,5327938.5
308,5260138.0
309,5209476.0
310,5297916.5
311,5288256.0
312,5252928.5
313,5356345.0
314,597527.625
315,5271261.5
316,5415020.5
317,5312339.0
318,5311940.0
319,5175985.0
320,5288572.0
321,5185071.5
322,243821.078125
323,5148362.5
324,5289142.5
325,5232462.5
326,5322941.5
327,5238237.5
328,5255129.0
329,5276933.0
330,1043798.375
331,5356589.0
332,5266959.0
333,231989.09375
334,270806.8125
335,5359165.0
336,5273331.0
337,5220540.5
338,5355272.0
339,5260182.0
340,5350342.0
341,5215606.5
342,5178769.0
343,5164461.5
344,5217469.0
345,5377593.5
346,5317295.0
347,5265576.5
348,5398789.0
349,5338260.5
350,5193690.0
351,5365449.0
352,331659.09375
353,329072.71875
354,5267974.5
355,5286490.0
356,309705.375
357,5223507.0
358,5269559.0
359,5198932.5
360,5415582.5
361,207592.28125
362,5342594.5
363,5291025.5
364,287178.90625
365,5372861.0
366,238372.359375
367,5231947.0
368,211700.5625
369,336804.65625
370,5224839.5
371,5274362.5
372,5418995.5
373,253278.40625
374,5362432.5
375,5101767.5
376,5300869.5
377,5253091.0
378,334602.65625
379,313884.53125
380,5339869.0
381,5318253.0
382,272181.625
383,5357202.0
384,5314693.5
385,5270706.5
386,5245310.0
387,5210411.0
388,5320400.0
389,5088160.5
390,5381119.0
391,253559.46875
392,232285.953125
393,5374078.0
394,5381259.5
395,5265768.5
396,5301733.5
397,5382520.0
398,5224841.5
399,5177251.0
400,5116531.0
401,5259438.5
402,5342825.5
403,5254272.5
404,5402626.5
405,237780.0625
406,252641.875
407,5306932.5
408,5269024.5
409,5368389.5
410,5178099.0
411,299418.9375
412,5292867.0
413,368778.21875
414,5391517.5
415,5099671.5
416,5344216.5
417,5278207.5
418,5178731.5
419,5400751.5
420,5322108.0
421,5331494.5
422,5334682.0
423,5373951.0
424,286941.4375
425,232111.15625
426,5280345.5
427,5185087.0
428,239746.96875
429,234001.046875
430,5316265.0
431,5223101.5
432,270995.5625
433,5439366.5
434,5283249.5
435,2512070.25
436,5343756.0
437,276940.25
438,5411124.0
439,288294.40625
440,5405467.5
441,351315.84375
442,217022.15625
443,5446952.0
444,5307422.5
445,1147937.625
446,5346290.0
447,569927.75
448,5306249.5
449,291996.625
450,5375986.0
451,2605835.25
452,5246866.5
453,601554.9375
454,310109.40625
455,5268217.5
456,5175825.0
457,5134592.5
458,5372066.5
459,5369331.0
460,688632.4375
461,226484.140625
462,217055.875
463,5338508.5
464,257272.109375
465,5388894.0
466,5327652.5
467,5197516.0
468,5254703.0
469,5282436.5
470,5376772.0
471,214654.96875
472,5312652.0
473,5275662.5
474,5058226.5
475,5323371.5
476,5074719.0
477,301422.53125
478,5149812.0
479,5291968.0
480,5295317.0
481,208580.109375
482,5151454.0
483,5203885.5
484,5262461.5
485,5204857.0
486,5360621.0
487,268188.90625
488,5462557.5
489,5210110.0
490,5064211.5
491,5171390.0
492,305381.625
493,239248.609375
494,5280072.5
495,5273267.0
496,5214308.5
497,5220700.0
498,5366565.0
499,5207626.0
500,234108.578125
501,309285.34375
502,5232336.5
503,5305781.0
504,5345103.5
505,5375639.5
506,5191047.0
507,5394139.5
508,5347203.5
509,281797.53125
510,5328043.5
511,5331404.5
512,5286930.0
513,614471.8125
514,5357886.5
515,5222348.5
516,339345.1875
517,5346662.0
518,5256099.5
519,5251290.0
520,379855.71875
521,297163.53125
522,5393413.0
523,5337777.5
524,440813.90625
525,5176008.0
526,413537.28125
527,5287378.5
528,5366769.0
529,5279963.5
530,5275832.5
531,5201300.0
532,520617.71875
533,297992.21875
534,5193230.5
535,5254036.0
536,5403557.0
537,5290960.5
538,5124146.0
539,5196503.5
540,5095151.5
541,5226296.5
542,5314205.5
543,268609.53125
544,5233593.0
545,5268256.5
546,235430.765625
547,5303745.0
548,5297404.0
549,5308820.5
550,5367059.5
551,319859.625
552,5169352.0
553,5182334.5
554,380487.96875
555,5305472.0
556,5205726.5
557,5294301.0
558,5236572.0
559,5216750.5
560,403542.15625
561,5358924.0
562,1477938.5
563,5318125.5
564,5537864.0
565,5259698.0
566,356689.0625
567,5350777.5
568,5279970.0
569,234818.609375
570,336946.8125
571,5369297.0
572,298331.03125
573,5289234.0
574,5233618.5
575,5282222.0
576,297467.9375
577,216999.125
578,5300803.5
579,866071.9375
580,246612.046875
581,5240549.5
582,5231892.0
583,400008.53125
584,5204948.0
585,5360798.5
586,5280564.0
587,476019.34375
588,5364966.5
589,5189371.0
590,5317029.5
591,5098771.0
592,5180873.5
593,1416006.75
594,5399282.5
595,276994.71875
596,5317465.0
597,5284886.5
598,5200423.5
599,5332577.5
600,5314622.0
601,5195721.0
602,279322.09375
603,5370485.0
604,5198967.0
605,5193849.5
606,5293955.5
607,5309323.5
608,5300494.0
609,5276971.0
610,5219805.0
611,5187713.0
612,5259999.0
613,303618.96875
614,5185104.5
615,5357072.5
616,236848.65625
617,5251242.0
618,5367113.5
619,5263745.0
620,5275819.5
621,1471685.875
622,5261271.5
623,1277922.5
624,5206271.5
625,5328078.0
626,235340.875
627,5246720.5
628,5211318.0
629,5304241.5
630,5251583.0
631,5392244.5
632,1001474.0
633,5314351.5
634,5219859.0
635,5113044.5
636,5277732.0
637,5248847.5
638,5301133.5
639,5212226.0
640,5224166.5
641,5203217.5
642,5320012.5
643,5187897.0
644,5136288.0
645,5254276.0
646,5260562.0
647,5412071.0
648,5383287.5
649,1309619.75
650,5360849.5
651,5193754.5
652,5189595.5
653,5320300.5
654,5248417.0
655,524848.1875
656,5361621.5
657,5259737.0
658,5310235.0
659,5092300.5
660,5220656.5
661,5301789.5
