Step,Value
1,0.6170212626457214
2,0.7586206793785095
3,1.0
4,1.0
5,0.9433962106704712
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9838709831237793
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.7428571581840515
18,0.7288135886192322
19,1.0
20,1.0
21,0.9607843160629272
22,1.0
23,0.841269850730896
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.6379310488700867
31,0.9583333134651184
32,1.0
33,1.0
34,0.625
35,0.9821428656578064
36,1.0
37,1.0
38,1.0
39,0.84375
40,1.0
41,0.8571428656578064
42,1.0
43,1.0
44,0.9402984976768494
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.8783783912658691
51,1.0
52,0.9729729890823364
53,1.0
54,1.0
55,0.9838709831237793
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,0.9846153855323792
64,1.0
65,0.9661017060279846
66,1.0
67,0.9054054021835327
68,0.8793103694915771
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.9807692170143127
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,0.9838709831237793
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.38461539149284363
92,1.0
93,1.0
94,1.0
95,0.8727272748947144
96,0.9322034120559692
97,0.9750000238418579
98,1.0
99,0.9852941036224365
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,0.7833333611488342
106,1.0
107,1.0
108,1.0
109,0.9558823704719543
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,0.8863636255264282
120,1.0
121,1.0
122,1.0
123,1.0
124,0.9824561476707458
125,1.0
126,1.0
127,1.0
128,0.7333333492279053
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.9298245906829834
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,0.5666666626930237
146,1.0
147,1.0
148,0.4893617033958435
149,0.7941176295280457
150,1.0
151,1.0
152,1.0
153,0.9710144996643066
154,1.0
155,1.0
156,0.8813559412956238
157,0.6481481194496155
158,0.9833333492279053
159,1.0
160,1.0
161,0.9629629850387573
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.9743589758872986
169,0.8676470518112183
170,0.6727272868156433
171,0.9264705777168274
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,0.5573770403862
182,1.0
183,0.6379310488700867
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,0.9264705777168274
192,1.0
193,1.0
194,1.0
195,0.8840579986572266
196,0.982758641242981
197,1.0
198,1.0
199,0.9772727489471436
200,1.0
201,1.0
202,1.0
203,1.0
