Step,Value
1,5164085.0
2,5164085.0
3,187738.3125
4,210567.296875
5,5287010.0
6,5196168.0
7,320392.25
8,211662.09375
9,5316441.5
10,5325364.5
11,5268138.0
12,5240294.0
13,571066.9375
14,5292343.5
15,5241111.5
16,342673.1875
17,194689.375
18,5193980.5
19,252689.34375
20,5244618.5
21,5311593.0
22,5248295.0
23,5324413.5
24,5348650.5
25,332641.0625
26,226408.9375
27,205719.390625
28,5271977.0
29,5265423.5
30,5305332.0
31,245131.296875
32,5200068.5
33,5345447.5
34,5293674.5
35,5258845.0
36,5299468.0
37,2255571.25
38,5379754.5
39,5228261.0
40,5140815.5
41,5214804.0
42,5330501.5
43,5347029.0
44,5329001.0
45,5391068.0
46,5377374.5
47,5341081.5
48,5298271.5
49,5308380.5
50,5368125.5
51,5150505.5
52,336715.1875
53,5285344.5
54,241155.65625
55,266620.6875
56,5243378.0
57,5280716.5
58,5201745.5
59,5336100.0
60,5287251.5
61,5230421.0
62,5235744.5
63,302484.59375
64,5299758.5
65,5256691.0
66,5173053.5
67,5159483.0
68,247702.609375
69,310927.6875
70,5484505.5
71,5202380.5
72,443077.625
73,5209513.5
74,5249660.5
75,1107494.875
76,275423.0
77,5132673.5
78,5234447.0
79,5165864.0
80,5287663.5
81,5131717.5
82,5200236.0
83,243959.3125
84,325227.40625
85,281908.125
86,5226800.5
87,5313707.0
88,5304621.5
89,5335581.5
90,5273641.5
91,5256158.5
92,893037.875
93,5267049.0
94,5283583.5
95,5221893.0
96,5312799.0
97,5204958.5
98,5245436.5
99,5259940.0
100,5334604.5
101,5272490.0
102,5210494.5
103,1536540.625
104,323981.5
105,5259862.0
106,5155796.5
107,5218815.0
108,5363214.0
109,5294566.5
110,5240166.5
111,5311191.0
112,5374431.0
113,386907.28125
114,5385656.0
115,5321203.0
116,5295230.5
117,5378848.0
118,5268798.5
119,278308.84375
120,5246339.5
121,5295803.5
122,5279614.5
123,5256899.5
124,5255078.5
125,5168621.5
126,5315280.0
127,5348889.0
128,5310346.0
129,5174453.0
130,5303829.5
131,182490.09375
132,5338870.5
133,5240665.0
134,5267907.0
135,5276467.0
136,5227215.5
137,5281759.5
138,5337961.0
139,1789724.375
140,5412017.5
141,5191517.0
142,5313446.5
143,5255499.5
144,5317385.0
145,182945.234375
146,187758.90625
147,173793.8125
148,5306709.5
149,5338978.5
150,5271482.5
151,5298198.0
152,5312727.0
153,5428542.5
154,5356060.0
155,5235112.0
156,5212655.5
157,209377.65625
158,5424001.5
159,5290334.5
160,179643.71875
161,5259192.5
162,5202439.0
163,5182993.0
164,415911.625
165,5191438.5
166,972332.375
167,5385150.5
168,5253362.5
169,5356535.5
170,5253629.5
171,5357105.0
172,5293366.0
173,5384517.0
174,1559278.75
175,179727.359375
176,5281181.0
177,222603.296875
178,5271531.0
179,5324164.5
180,214613.078125
181,172922.171875
182,5233004.0
183,5087142.5
184,5345733.5
185,5345869.0
186,5373246.0
187,274138.15625
188,5207274.5
189,5341082.0
190,5276261.0
191,5168877.5
192,5276332.0
193,5275251.0
194,5293851.0
195,5256020.0
196,5300807.5
197,5264779.0
198,5290931.5
199,5174730.5
200,5294031.0
201,5352293.0
202,268205.90625
203,5280749.0
204,5330289.5
205,5214318.0
206,5156561.5
207,5337838.0
208,5361969.0
209,5337331.0
210,5376533.5
211,5342957.5
212,319243.5625
213,308904.21875
214,5353043.0
215,5328907.5
216,5337829.0
217,5359689.5
218,5186432.0
219,5270999.0
220,5275970.0
221,5373708.5
222,228942.1875
223,238159.125
224,5185637.0
225,5275051.5
226,5224897.0
227,5122235.5
228,5292352.5
229,5333759.0
230,5371527.0
231,5255304.0
232,5301405.0
233,5245902.0
234,1361305.375
235,5312531.0
236,5323358.0
237,380549.9375
238,5305656.5
239,280058.9375
240,5195878.0
241,5333200.5
242,276322.9375
243,5265624.5
244,701813.0625
245,5224720.0
246,5304922.0
247,5314958.5
248,5259270.0
249,5229958.5
250,5299589.5
251,5165159.0
252,5369303.5
253,5303082.5
254,5281003.5
255,5296632.0
256,5192514.5
257,5246896.5
258,5289765.0
259,5363900.5
260,896108.125
261,5356941.0
262,5343384.0
263,5237943.5
264,5237936.0
265,5220132.0
266,2556741.5
267,5353929.5
268,5252152.0
269,5289184.5
270,5261009.5
271,5160794.5
272,5216794.5
273,5359294.0
274,5346564.5
275,5141162.5
276,5367414.0
277,5228655.0
278,5334310.5
279,5235171.0
280,5259852.5
281,5299297.0
282,5251161.0
283,5211866.5
284,272248.4375
285,5270197.5
286,5231953.5
287,5330288.0
288,494758.875
289,5393370.5
290,570156.5625
291,5229912.5
292,595701.4375
293,5172581.5
294,256171.84375
295,5178713.5
296,303613.78125
297,5262036.0
298,5205237.5
299,5194617.0
300,5296757.5
301,5300749.5
302,2429919.75
303,324549.40625
304,5421551.5
305,5267289.5
306,5368732.0
307,220888.140625
308,5333830.0
309,262212.8125
310,5265610.0
311,5243213.5
312,301033.5
313,5338537.0
314,5351577.0
315,252541.1875
316,5248534.5
317,5310636.0
318,5221341.0
319,5311735.5
320,5354186.5
321,5252480.0
322,259984.609375
323,5360331.5
324,5268856.5
325,5423209.5
326,5293903.5
327,5229935.5
328,5200989.5
329,5196162.0
330,5362230.5
331,5261115.5
332,5349997.5
333,5349313.0
334,5405603.0
335,5183465.5
336,5305464.5
337,5138592.0
338,5289433.5
339,5226500.5
340,5290440.5
341,5260668.0
342,5348026.5
343,5404510.5
344,432901.71875
345,5378445.5
346,5275248.5
347,1437082.25
348,5323508.5
349,5356650.5
350,5362142.5
351,231699.046875
352,321806.4375
353,5300473.5
354,463047.0
355,293878.84375
356,5323000.0
357,5318068.5
358,5404075.0
359,5400197.0
360,5269718.5
361,5268848.5
362,5097258.5
363,5283878.0
364,5222364.5
365,5126831.0
366,5374919.5
367,5430360.5
368,5280592.5
369,5310473.5
370,646899.0
371,5333954.5
372,5283023.0
373,5314929.5
374,229028.046875
375,5360260.0
376,382560.28125
377,224686.40625
378,228871.140625
379,5333361.0
380,5309406.5
381,5244328.5
382,256386.25
383,5272841.5
384,5290420.5
385,280544.09375
386,227633.5625
387,5086327.5
388,5273514.0
389,304721.90625
390,5132143.5
391,5248061.0
392,5150887.5
393,5292221.5
394,5199214.5
395,1603647.75
396,312130.875
397,5266566.0
398,5202422.0
399,5345691.5
400,5247683.5
401,5386619.0
402,5221611.0
403,5330462.0
404,5366838.0
405,5392936.5
406,5260489.0
407,556779.5
408,5289711.0
409,5214991.0
410,5296478.5
411,5211750.5
412,5249595.5
413,5198650.5
414,5404516.5
415,5283227.5
416,5338473.0
417,5208651.5
418,5222633.5
419,5311391.5
420,5164544.5
421,5187707.5
422,222627.5625
423,5308120.5
424,468360.5625
425,5171009.5
426,5265120.5
427,5167933.0
428,5410673.0
429,5276191.5
430,5234746.5
431,5314692.5
432,5215584.5
433,5300446.0
434,5268651.0
435,5322131.0
436,5287207.0
437,5268042.5
438,5344510.0
439,5203321.0
440,5274448.5
441,5198324.5
442,5171105.5
443,5231791.5
444,5324159.0
445,5217123.5
446,5203366.5
447,5263317.5
448,5251253.5
449,5166458.0
450,5299732.0
451,5259354.5
452,5481098.5
453,5356791.5
454,5184216.5
455,5396050.0
456,5183429.5
457,5310352.0
458,5232106.5
459,5426733.5
460,5246133.5
461,5228109.5
462,327983.34375
463,292526.03125
464,5226837.0
465,205504.015625
466,317443.59375
467,319019.34375
468,5190775.5
469,226678.0
470,212038.625
471,5215241.5
472,5283171.5
473,5279240.5
474,5226910.5
475,380523.1875
476,5307446.5
477,5263460.5
478,5234849.0
479,362057.6875
480,304974.5625
481,5287967.5
482,5304246.0
483,5281002.5
484,5166350.0
485,5253124.5
486,5313402.0
487,5241574.5
488,330425.625
489,5180539.5
490,5484762.5
491,866948.9375
492,5200815.5
493,5214325.5
494,5137122.5
495,588139.9375
496,5291110.0
497,5306496.5
498,1076694.75
499,5365117.0
500,5249882.0
501,472420.9375
502,5296042.0
503,5241618.0
504,5250309.0
505,5412685.0
506,5205100.5
507,5234950.5
508,5266082.0
509,5335805.5
510,5265216.5
511,3068475.5
512,283032.4375
513,227798.6875
514,5302831.5
515,5301469.0
516,2662269.5
517,5351738.0
518,5335607.0
519,1619142.875
520,5371766.5
521,413919.53125
522,5269052.0
523,652379.125
524,5234909.0
525,5265007.5
526,5222787.0
527,253005.65625
528,5195454.0
529,5247486.0
530,5190940.5
531,5355070.5
532,5231354.0
533,5230187.0
534,5356431.5
535,5167479.0
536,5356601.0
537,5180729.5
538,5280097.5
539,276954.8125
540,5306657.5
541,5184474.5
542,5279184.5
543,5163027.5
544,454984.5
545,5269208.5
546,5324697.0
547,5198815.0
548,5277735.5
549,344796.1875
550,5178871.0
551,5190871.0
552,527380.375
553,5203718.5
554,5186464.5
555,5294047.0
556,323148.9375
557,5242478.5
558,5266926.0
559,5292574.0
560,5393743.0
561,5247213.0
562,5215414.0
563,5322420.0
564,5392381.0
565,5273693.5
566,5205332.0
567,5134002.5
568,5230260.5
569,5321305.0
570,5361517.0
571,432885.0
572,5407293.0
573,340408.4375
574,5241209.0
575,5268601.5
576,5277519.0
577,5373188.5
578,263655.3125
579,5293588.0
580,5263145.5
581,5265665.5
582,263737.0625
583,5327752.0
584,5258134.5
585,5295924.0
586,5243001.0
587,5240582.5
588,5266165.5
589,5314939.5
590,5326162.5
591,5276756.0
592,5243010.5
593,5362804.0
594,5266489.0
595,5416549.5
596,5314588.0
597,5243468.0
598,681112.875
599,5326317.0
600,5222400.5
601,5338125.0
602,5208867.5
603,234089.484375
604,5361363.5
605,5283978.5
606,5140808.5
607,5299234.0
608,5290682.5
609,5143146.5
610,5239250.0
611,5294641.0
612,433653.71875
613,261461.984375
614,311381.6875
615,241803.390625
616,5396513.0
617,5416905.5
618,5232183.0
619,5339468.0
620,5241872.0
621,5282792.5
622,5139015.5
623,5081954.0
624,5322269.0
625,5171432.5
626,831948.0625
627,5336762.0
628,5237390.5
629,3293604.5
630,5272253.0
631,5203601.0
632,5272481.0
633,5222497.0
634,5194852.5
635,1213127.75
636,5171356.5
637,5392976.5
638,254713.40625
639,5294311.0
640,5205572.5
641,5287947.0
642,227465.71875
643,313733.53125
644,307841.90625
645,5247822.0
646,5301542.0
647,5210801.0
648,5254618.0
649,5228343.0
650,5233293.0
651,5285558.0
652,5397478.0
653,219756.578125
654,5355017.0
655,5339504.5
656,5375769.0
657,5166192.5
658,5235632.5
659,5285943.0
660,5271162.5
661,5293846.0
