Step,Value
1,45120.0
2,45120.0
3,44160.0
4,50240.0
5,49920.0
6,48960.0
7,54720.0
8,54720.0
9,49600.0
10,41920.0
11,45120.0
12,43200.0
13,45760.0
14,47040.0
15,45440.0
16,45760.0
17,48960.0
18,52800.0
19,46400.0
20,50880.0
21,57600.0
22,61440.0
23,56640.0
24,53440.0
25,53440.0
26,50240.0
27,57920.0
28,56960.0
29,58560.0
30,51840.0
31,54080.0
32,53440.0
33,53120.0
34,59840.0
35,62080.0
36,55680.0
37,57600.0
38,58240.0
39,56000.0
40,53120.0
41,54080.0
42,58880.0
43,67200.0
44,57920.0
45,63040.0
46,58240.0
47,59520.0
48,61760.0
49,61120.0
50,62400.0
51,56320.0
52,60480.0
53,63680.0
54,64000.0
55,62080.0
56,65280.0
57,61440.0
58,67520.0
59,68480.0
60,69760.0
61,66560.0
62,66240.0
63,65920.0
64,57280.0
65,57600.0
66,66560.0
67,55040.0
68,58240.0
69,68800.0
70,71040.0
71,64000.0
72,65920.0
73,71360.0
74,69440.0
75,72320.0
76,69120.0
77,71040.0
78,66240.0
79,67200.0
80,66880.0
81,57280.0
82,61440.0
83,61120.0
84,61760.0
85,64320.0
86,60800.0
87,60800.0
88,59840.0
89,65920.0
90,65280.0
91,65600.0
92,64640.0
93,65920.0
94,69440.0
95,69120.0
96,67520.0
97,73600.0
98,81920.0
99,77760.0
100,81280.0
101,74240.0
102,78720.0
103,80000.0
104,85440.0
105,90880.0
106,80960.0
107,84480.0
108,90560.0
109,86720.0
110,82880.0
111,74240.0
112,76800.0
113,80320.0
114,76800.0
115,72000.0
116,73920.0
117,71680.0
118,73600.0
119,71680.0
120,71680.0
121,70080.0
122,64640.0
123,65280.0
124,68480.0
125,66560.0
126,70080.0
127,69440.0
128,63360.0
129,61440.0
130,65280.0
131,61120.0
132,59200.0
133,64640.0
134,65280.0
135,69120.0
136,71040.0
137,70400.0
138,74560.0
139,70080.0
140,73280.0
141,66240.0
142,66880.0
143,63680.0
144,71360.0
145,72960.0
146,66560.0
147,71680.0
148,67840.0
149,76160.0
150,73920.0
151,69120.0
152,70400.0
153,69440.0
154,69120.0
155,71360.0
156,72960.0
157,67520.0
158,73280.0
159,71040.0
160,69760.0
161,82880.0
162,78080.0
163,82560.0
164,79040.0
165,76480.0
166,74880.0
167,77440.0
168,80960.0
169,76160.0
170,72960.0
171,66880.0
172,66560.0
173,69440.0
174,60800.0
175,62080.0
176,64960.0
177,66240.0
178,67840.0
179,67200.0
180,72320.0
181,62080.0
182,64000.0
183,64960.0
184,66880.0
185,69440.0
186,70400.0
187,77440.0
188,78080.0
189,73600.0
190,79360.0
191,78720.0
192,78400.0
193,78400.0
194,72960.0
195,70720.0
196,71680.0
197,72960.0
198,72640.0
199,75840.0
200,72000.0
201,73920.0
202,73920.0
203,78080.0
204,77760.0
205,81920.0
206,80960.0
207,84480.0
208,85120.0
209,83840.0
210,89280.0
211,87680.0
212,90240.0
213,91200.0
214,92160.0
215,96960.0
216,91200.0
217,88000.0
218,83520.0
219,86720.0
220,92480.0
221,86400.0
222,85120.0
223,85120.0
224,88960.0
225,85760.0
226,85760.0
227,92480.0
228,98880.0
229,94720.0
230,108480.0
231,110400.0
232,97600.0
233,105920.0
234,107520.0
235,110080.0
236,117440.0
237,109760.0
238,110720.0
239,113600.0
240,107520.0
241,108480.0
242,112000.0
243,112960.0
244,109760.0
245,107200.0
246,113600.0
247,99520.0
248,112000.0
249,109760.0
250,106880.0
251,110080.0
252,107840.0
253,111040.0
254,99200.0
255,107200.0
256,105600.0
257,111680.0
258,119680.0
259,126080.0
260,120960.0
261,118080.0
262,122560.0
263,118400.0
264,101440.0
265,108160.0
266,109120.0
267,106560.0
268,112320.0
269,107200.0
270,108800.0
271,109120.0
272,108800.0
273,106880.0
274,102720.0
275,107840.0
276,113600.0
277,99520.0
278,107840.0
279,103360.0
280,103040.0
281,109760.0
282,96000.0
283,97600.0
284,107200.0
