Step,Value
1,1.0
2,0.9848484992980957
3,0.857723593711853
4,0.8803088665008545
5,1.0
6,1.0
7,1.0
8,0.8978873491287231
9,1.0
10,0.9925650358200073
11,1.0
12,1.0
13,0.8535714149475098
14,1.0
15,0.9933775067329407
16,0.9939758777618408
17,0.9937304258346558
18,0.9931972622871399
19,1.0
20,1.0
21,0.9961977005004883
22,0.9959999918937683
23,0.8589211702346802
24,1.0
25,1.0
26,0.9955357313156128
27,1.0
28,1.0
29,1.0
30,0.9926199316978455
31,0.8429751992225647
32,0.9903537034988403
33,0.9046052694320679
34,1.0
35,0.9934425950050354
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,0.9881889820098877
43,1.0
44,1.0
45,0.8759124279022217
46,0.9820144176483154
47,0.8808777332305908
48,0.8566977977752686
49,1.0
50,0.9767441749572754
51,1.0
52,0.982758641242981
53,1.0
54,1.0
55,0.9966216087341309
56,1.0
57,1.0
58,0.8712121248245239
59,1.0
60,0.9019607901573181
61,0.9960159659385681
62,1.0
63,0.9919028282165527
64,1.0
65,1.0
66,0.8906882405281067
67,1.0
68,0.8778625726699829
69,1.0
70,0.9963235259056091
71,1.0
72,1.0
73,1.0
74,1.0
75,0.8396946787834167
76,1.0
77,0.9971428513526917
78,0.8678160905838013
79,0.9974093437194824
80,1.0
81,0.8865030407905579
82,0.9937694668769836
83,1.0
84,0.9192307591438293
85,0.8728813529014587
86,0.9952830076217651
87,0.8743455410003662
88,1.0
89,1.0
90,0.9893993139266968
91,0.996835470199585
92,1.0
93,1.0
94,0.9916201233863831
95,0.8814589381217957
96,1.0
97,0.9929078221321106
98,1.0
99,0.8566433787345886
100,1.0
101,0.9955157041549683
102,0.8565737009048462
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,0.9918367266654968
111,1.0
112,0.8529411554336548
113,0.8647342920303345
114,0.8986784219741821
115,0.8820960521697998
116,0.9959677457809448
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,0.8927202820777893
128,0.996268630027771
129,1.0
130,1.0
131,1.0
132,0.9965397715568542
133,1.0
134,1.0
135,0.8689956068992615
136,1.0
137,0.9921259880065918
138,1.0
139,0.8372092843055725
140,1.0
141,1.0
142,1.0
143,0.8456375598907471
144,1.0
145,0.9908257126808167
146,1.0
147,1.0
148,1.0
149,1.0
